"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",12,14,28,NA,NA,NA,NA,NA,NA,NA,NA
"2",12,28,53,NA,NA,NA,NA,NA,NA,NA,NA
"3",16,10751,35,12,NA,NA,NA,NA,NA,NA,NA
"4",18,9648,53,NA,NA,NA,NA,NA,NA,NA,NA
"5",16,12,35,10751,NA,NA,NA,NA,NA,NA,NA
"6",35,18,10749,NA,NA,NA,NA,NA,NA,NA,NA
"7",53,9648,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",18,53,80,NA,NA,NA,NA,NA,NA,NA,NA
"9",28,12,35,10751,14,NA,NA,NA,NA,NA,NA
"10",14,18,10752,NA,NA,NA,NA,NA,NA,NA,NA
"11",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",28,53,878,NA,NA,NA,NA,NA,NA,NA,NA
"13",28,12,10752,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,28,878,53,NA,NA,NA,NA,NA,NA,NA
"15",18,28,53,878,NA,NA,NA,NA,NA,NA,NA
"16",35,18,14,10749,NA,NA,NA,NA,NA,NA,NA
"17",12,28,53,NA,NA,NA,NA,NA,NA,NA,NA
"18",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",18,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",14,18,53,10749,NA,NA,NA,NA,NA,NA,NA
"21",35,10751,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",10402,18,10749,80,NA,NA,NA,NA,NA,NA,NA
"23",27,53,80,NA,NA,NA,NA,NA,NA,NA,NA
"24",18,12,878,10749,NA,NA,NA,NA,NA,NA,NA
"25",18,53,80,9648,NA,NA,NA,NA,NA,NA,NA
"26",12,16,10751,NA,NA,NA,NA,NA,NA,NA,NA
"27",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",14,28,12,10751,NA,NA,NA,NA,NA,NA,NA
"29",80,14,18,NA,NA,NA,NA,NA,NA,NA,NA
"30",28,12,80,53,NA,NA,NA,NA,NA,NA,NA
"31",14,16,18,878,NA,NA,NA,NA,NA,NA,NA
"32",18,36,53,NA,NA,NA,NA,NA,NA,NA,NA
"33",35,10749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",16,35,10751,14,NA,NA,NA,NA,NA,NA,NA
"35",18,53,28,NA,NA,NA,NA,NA,NA,NA,NA
"36",14,28,12,NA,NA,NA,NA,NA,NA,NA,NA
"37",35,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",18,36,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",12,14,28,878,NA,NA,NA,NA,NA,NA,NA
