"","title","movie_id","Action","Adventure","Animation","Comedy","Crime","Documentary","Drama","Family","Fantasy","Foreign","History","Horror","Music","Mystery","Romance","Science Fiction","Thriller","TV Movie","War","Western"
"1","Pirates of the Caribbean: Dead Man's Chest",1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2","Casino Royale",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"3","Ice Age: The Meltdown",3,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"4","The Prestige",4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
"5","Cars",5,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"6","The Devil Wears Prada",6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"7","The Da Vinci Code",7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"8","The Departed",8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"9","Night at the Museum",9,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"10","Pan's Labyrinth",10,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
"11","The Pursuit of Happyness",11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Déjà Vu",12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"13","300",13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"14","Underworld: Evolution",14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
"15","Children of Men",15,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
"16","Click",16,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
