"","genre","top1000id","title","nwords","num","numloc","char","apost","quest","colon","hyph","excl","amper","the_st","sentscore"
"6",1,"6","The Devil Wears Prada",4,0,0,21,0,0,0,0,0,0,1,-1
"16",1,"16","Click",1,0,0,5,0,0,0,0,0,0,0,0
"19",1,"19","The Painted Veil",3,0,0,16,0,0,0,0,0,0,1,0
"20",1,"20","The Illusionist",2,0,0,15,0,0,0,0,0,0,1,0
"22",1,"22","Step Up",2,0,0,7,0,0,0,0,0,0,0,0
"24",1,"24","The Fountain",2,0,0,12,0,0,0,0,0,0,1,0
"33",1,"33","The Holiday",2,0,0,11,0,0,0,0,0,0,1,0
"44",1,"44","Viva Hotbabes Gone Wild",4,0,0,23,0,0,0,0,0,0,0,-1
"46",1,"46","Origin: Spirits of the Past",5,0,0,27,0,0,1,0,0,0,0,0
"56",1,"56","Cashback",1,0,0,8,0,0,0,0,0,0,0,1
"62",1,"62","School for Scoundrels",3,0,0,21,0,0,0,0,0,0,0,0
"68",1,"68","Scenes of a Sexual Nature",5,0,0,25,0,0,0,0,0,0,0,0
"75",1,"75","Paris, je t'aime",3,0,0,16,1,0,0,0,0,0,0,0
"77",1,"77","Friends with Money",3,0,0,18,0,0,0,0,0,0,0,0
"93",1,"93","The Lake House",3,0,0,14,0,0,0,0,0,0,1,0
"94",1,"94","Flyboys",1,0,0,7,0,0,0,0,0,0,0,0
"101",1,"101","The Prince & Me 2: The Royal Wedding",8,1,18,36,0,0,1,0,0,1,1,0
"108",1,"108","You, Me and Dupree",4,0,0,18,0,0,0,0,0,0,0,0
"110",1,"110","Just My Luck",3,0,0,12,0,0,0,0,0,0,0,1
"115",1,"115","Stranger Than Fiction",3,0,0,21,0,0,0,0,0,0,0,-2
"124",1,"124","Penelope",1,0,0,8,0,0,0,0,0,0,0,0
"128",1,"128","Man of the Year",4,0,0,15,0,0,0,0,0,0,0,0
"131",1,"131","Aquamarine",1,0,0,10,0,0,0,0,0,0,0,0
"139",1,"139","A Good Year",3,0,0,11,0,0,0,0,0,0,0,1
"150",1,"150","Shortbus",1,0,0,8,0,0,0,0,0,0,0,0
"152",1,"152","It's a Boy Girl Thing",5,0,0,21,1,0,0,0,0,0,0,0
"158",1,"158","Come Early Morning",3,0,0,18,0,0,0,0,0,0,0,0
"160",1,"160","The Break-Up",2,0,0,12,0,0,0,1,0,0,1,-1
"161",1,"161","She's the Man",3,0,0,13,1,0,0,0,0,0,0,0
"168",1,"168","Fur: An Imaginary Portrait of Diane Arbus",7,0,0,41,0,0,1,0,0,0,0,-1
"170",1,"170","The Oh in Ohio",4,0,0,14,0,0,0,0,0,0,1,0
"171",1,"171","Volver",1,0,0,6,0,0,0,0,0,0,0,0
"197",1,"197","Wristcutters: A Love Story",4,0,0,26,0,0,1,0,0,0,0,1
"201",1,"201","Starter for 10",3,1,14,14,0,0,0,0,0,0,0,0
"203",1,"203","Breaking and Entering",3,0,0,21,0,0,0,0,0,0,0,-1
"211",1,"211","Notes on a Scandal",4,0,0,18,0,0,0,0,0,0,0,-1
"214",1,"214","Save the Last Dance 2",5,1,22,21,0,0,0,0,0,0,0,0
"218",1,"218","Broken English",2,0,0,14,0,0,0,0,0,0,0,-1
"232",1,"232","The Darwin Awards",3,0,0,17,0,0,0,0,0,0,1,0
"236",1,"236","Madea's Family Reunion",3,0,0,22,1,0,0,0,0,0,0,0
"251",1,"251","Snow Cake",2,0,0,9,0,0,0,0,0,0,0,0
"256",1,"256","Sex and Consequences",3,0,0,20,0,0,0,0,0,0,0,0
"263",1,"263","Priceless",1,0,0,9,0,0,0,0,0,0,0,1
"267",1,"267","Miss Potter",2,0,0,11,0,0,0,0,0,0,0,-1
"275",1,"275","Peaceful Warrior",2,0,0,16,0,0,0,0,0,0,0,0
"280",1,"280","Fanaa",1,0,0,5,0,0,0,0,0,0,0,0
"286",1,"286","Catch and Release",3,0,0,17,0,0,0,0,0,0,0,0
"289",1,"289","Love and Other Disasters",4,0,0,24,0,0,0,0,0,0,0,1
"291",1,"291","The Elementary Particles",3,0,0,24,0,0,0,0,0,0,1,0
"306",1,"306","Avenue Montaigne",2,0,0,16,0,0,0,0,0,0,0,0
"309",1,"309","The Last Kiss",3,0,0,13,0,0,0,0,0,0,1,0
"312",1,"312","I'm a Cyborg, But That's OK",6,0,0,27,1,0,0,0,0,0,0,0
"314",1,"314","The Cutting Edge: Going for the Gold",7,0,0,36,0,0,1,0,0,0,1,1
"315",1,"315","Superman II: The Richard Donner Cut",6,0,0,35,0,0,1,0,0,0,0,0
"323",1,"323","Eating Out 2: Sloppy Seconds",5,1,13,28,0,0,1,0,0,0,0,-1
"326",1,"326","The Ex",2,0,0,6,0,0,0,0,0,0,1,0
"329",1,"329","Torn Apart",2,0,0,10,0,0,0,0,0,0,0,0
"330",1,"330","Away from Her",3,0,0,13,0,0,0,0,0,0,0,0
"336",1,"336","Loving Annabelle",2,0,0,16,0,0,0,0,0,0,0,0
"342",1,"342","Lonely Hearts",2,0,0,13,0,0,0,0,0,0,0,-1
"349",1,"349","Sleeping Dogs Lie",3,0,0,17,0,0,0,0,0,0,0,-1
"358",1,"358","Main-Main Cinta",2,0,0,15,0,0,0,1,0,0,0,0
"359",1,"359","Little Children",2,0,0,15,0,0,0,0,0,0,0,-1
"366",1,"366","Vivah",1,0,0,5,0,0,0,0,0,0,0,0
"367",1,"367","Candy",1,0,0,5,0,0,0,0,0,0,0,0
"370",1,"370","Something New",2,0,0,13,0,0,0,0,0,0,0,0
"373",1,"373","Kabhi Alvida Naa Kehna",4,0,0,22,0,0,0,0,0,0,0,0
"388",1,"388","Venus",1,0,0,5,0,0,0,0,0,0,0,0
"391",1,"391","Valley of Flowers",3,0,0,17,0,0,0,0,0,0,0,0
"392",1,"392","Jane Eyre",2,0,0,9,0,0,0,0,0,0,0,0
"396",1,"396","Barbie Fairytopia: Magic of the Rainbow",6,0,0,39,0,0,1,0,0,0,0,1
"397",1,"397","Material Girls",2,0,0,14,0,0,0,0,0,0,0,0
