,result_id,Unnamed: 0.1,X,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,genre_names,date,year,genres,decade,label,romance,horror,scifi
0,0,3063,0,False,/haHULz59jdG4OVmqHjZ01z7HEit.jpg,"[35, 18, 10749]",164,en,Breakfast at Tiffany's,"Fortune hunter Holly Golightly finds herself captivated by aspiring writer Paul Varjak, who's moved into her building on a wealthy woman's dime. As romance blooms between Paul and Holly, Doc Golightly shows up on the scene, revealing Holly's past.",3.978771,/c95lbDwL5WT8PV9DZsdSvRtXKNA.jpg,1961-10-05,Breakfast at Tiffany's,False,7.5,769,"[Comedy, Drama, Romance]",1961-10-05,1961,"35, 18, 10749",1960,romance,1.0,0.0,0.0
1,1,3463,0,False,/evAe6OMQgRkrVWxjLktYy1tIARW.jpg,"[18, 10749, 10752]",907,en,Doctor Zhivago,Doctor Zhivago is the filmed adapation of the Russian novel by Boris Pasternak from director David Lean that was an international success and today deemed a classic. Omar Sharif and Julie Christie play two protagonists who in fact love each other yet because of their current situation cannot find a way be together.,3.292234,/lP1Mn1sQ9FiSNovCyZonhKjjkRM.jpg,1965-12-22,Doctor Zhivago,False,7.3,193,"[Drama, Romance, War]",1965-12-22,1965,"18, 10749, 10752",1960,romance,1.0,0.0,0.0
2,2,2964,1,False,/vF4d4hAKMcrDE4Y6zLwUSijp32g.jpg,"[35, 18, 10749]",284,en,The Apartment,"Bud Baxter is a minor clerk in a huge New York insurance company, until he discovers a quick way to climb the corporate ladder. He lends out his apartment to the executives as a place to take their mistresses. Although he often has to deal with the aftermath of their visits, one night he's left with a major problem to solve.",3.270765,/8nrQKQjD6z0SJouKHQapXzmjFc6.jpg,1960-06-15,The Apartment,False,8.0,383,"[Comedy, Drama, Romance]",1960-06-15,1960,"35, 18, 10749",1960,romance,1.0,0.0,0.0
3,3,3663,0,False,/sEWKMIlgUCCb2n5mT0Mf71DRKLR.jpg,"[35, 18, 10749]",37247,en,The Graduate,"Recent college graduate Benjamin Braddock is seduced by the wife of his father's business partner, Mrs. Robinson. Benjamin soon finds himself falling in love with her daughter, Elaine, as the affair with Mrs. Robinson mother comes back to haunt him.",3.257459,/aWKFNHwRRRDe9wRuzUJrwyFbTvT.jpg,1967-12-21,The Graduate,False,7.5,637,"[Comedy, Drama, Romance]",1967-12-21,1967,"35, 18, 10749",1960,romance,1.0,0.0,0.0
4,4,3363,0,False,/soKwqxI1j5rNkVfDeuarmTHetcH.jpg,"[18, 10751, 10402, 10749]",11113,en,My Fair Lady,A misogynistic and snobbish phonetics professor agrees to a wager that he can take a flower girl and make her presentable in high society.,3.09274,/AiyysCDn0l5SHO5dTGHsrKjPBN8.jpg,1964-10-21,My Fair Lady,False,7.4,269,"[Drama, Family, Music, Romance]",1964-10-21,1964,"18, 10751, 10402, 10749",1960,romance,1.0,0.0,0.0
5,5,3264,1,False,/tS3ms6HM52hLLU3eRdjVPSgSS4w.jpg,"[18, 36, 10749]",8095,en,Cleopatra,"Historical epic. The triumphs and tragedy of the Egyptian queen, Cleopatra.The winner of four Oscars, this epic saga of love, greed and betrayal stars Elizabeth Taylor as the passionate and ambitious Egyptian queen who's determined to hold on to the throne and seduces the Roman emperor Julius Caesar (Rex Harrison). When Caesar is murdered, she redirects her attentions to his general, Marc Antony (Richard Burton), who vows to take power -- but Caesar's successor (Roddy McDowall) has other plans.",3.058278,/fYrSQZZTymPMOnbfphCTm2V9vJu.jpg,1963-06-12,Cleopatra,False,6.6,103,"[Drama, History, Romance]",1963-06-12,1963,"18, 36, 10749",1960,romance,1.0,0.0,0.0
6,6,3464,1,False,/weiACHVZa0lQ10cd3BhJm9d8YUF.jpg,"[18, 10751, 10402, 10749]",15121,en,The Sound of Music,Film adaptation of a classic Rodgers and Hammerstein musical based on a nun who becomes a governess for an Austrian family.,2.591979,/459fPVvI4lkEV0piSfcq0irKHi8.jpg,1965-03-02,The Sound of Music,False,7.3,796,"[Drama, Family, Music, Romance]",1965-03-02,1965,"18, 10751, 10402, 10749",1960,romance,1.0,0.0,0.0
7,7,3863,0,False,/sc7zy4aqkA61vtDA4hHSOv4Gfu5.jpg,"[35, 18, 10749]",49225,en,Age of Consent,An elderly artist thinks he has become too stale and is past his prime. His friend (and agent) persuades him to go to an offshore island to try once more. On the island he re-discovers his muse in the form of a young girl.,2.359836,/uz4Nl4Qp2kkAYUdjmMn9kTrDVGJ.jpg,1969-05-13,Age of Consent,False,6.0,11,"[Comedy, Drama, Romance]",1969-05-13,1969,"35, 18, 10749",1960,romance,1.0,0.0,0.0
8,8,3864,1,False,/7dk68tDxfAadbsJ4aPuMOEwbC3i.jpg,"[35, 10751, 10402, 10749]",14030,en,"Hello, Dolly!","Matchmaker, Dolly Levi takes a trip to Yonkers, New York to see the ""well-known unmarried half-a-millionaire,"" Horace Vandergelder. While there, she convinces him, his two stock clerks and his niece and her beau to go to New York City.",2.273187,/6VDANRGpRb4VGo5q0anoav5CoU7.jpg,1969-12-12,"Hello, Dolly!",False,6.4,48,"[Comedy, Family, Music, Romance]",1969-12-12,1969,"35, 10751, 10402, 10749",1960,romance,1.0,0.0,0.0
9,9,3266,3,False,/pk26ubDilpxX9V7geBnxNRwAdwu.jpg,"[35, 9648, 10749, 53]",4808,en,Charade,"Regina Lambert returns to Paris from a ski holiday in Switzerland to find that her husband has been murdered. She is later told by CIA agent Hamilton Bartholemew that Charles Lambert was one of five men who stole $250,000 in gold from the U.S. government during World War II, and the government wants it back. The money was not found among his possessions, and Regina can shed no light on its whereabouts. Later that day she is visited by Peter Joshua, whom she had met briefly while on holiday. When her husband's former partners in crime, who were double-crossed by Charles, start calling her looking for the money, Peter offers to help find it. Thus begins an elaborate charade in which nothing is what it seems to be.",2.265012,/dylvMaUZ1HQvYvVocfiKb5OovOc.jpg,1963-12-05,Charade,False,7.6,265,"[Comedy, Mystery, Romance, Thriller]",1963-12-05,1963,"35, 9648, 10749, 53",1960,romance,1.0,0.0,0.0
