,Unnamed: 0,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,release_year,release_decade
0,0,False,/AvYDpn52RVu9bRfbtVka9mpyYOt.jpg,"[53, 27, 878]",1678,ja,ゴジラ,"Japan is thrown into a panic after several ships explode and are sunk near Odo Island. An expedition to the island led by paleontologist Professor Kyohei Yemani soon discover something more devastating than imagined in the form of a 164 foot tall monster whom the natives call Gojira. Now the monster begins a rampage that threatens to destroy not only Japan, but the rest of the world as well.",2.604126,/qGTJmSFytUDBtbJ7jFSYdQF1lNM.jpg,1954-11-03,Godzilla,False,6.7,152,1954,1950
1,1,False,/q6U0bHOWjD0F1fuzhNoH2a2ARr9.jpg,"[27, 9648, 878]",11071,en,Them!,Nuclear tests in the desert result in the growth of gigantic mutant ants who menace cities in the American south-west as a team of investigators and the army search for a way to control their spread in this Cold War-era monster film.,1.84608,/ndYEgAzS01AlrUr4yetiJYOVMz1.jpg,1954-06-16,Them!,False,6.9,92,1954,1950
2,2,False,/jUfk0M6RQEJngy89afkAqxlASeI.jpg,"[12, 18, 878]",173,en,"20,000 Leagues Under the Sea","A ship sent to investigate a wave of mysterious sinkings encounters the advanced submarine, the Nautilus, commanded by Captain Nemo.",1.661457,/zANct2xGMgj6qZbCBetYfeOaFP.jpg,1954-12-23,"20,000 Leagues Under the Sea",False,6.8,128,1954,1950
3,3,False,/qNYG1cUHjFzSnkag3UNsWPxUMx1.jpg,[878],24212,en,Devil Girl from Mars,"An uptight, leather-clad female alien, armed with a raygun and accompanied by a menacing robot, comes to Earth to collect Earth's men as breeding stock",1.264081,/8L8gcfjM6vnRnYOig6GDOxADU7A.jpg,1954-05-01,Devil Girl from Mars,False,3.5,6,1954,1950
4,4,False,/kPhQN685slqtnhnFA7DuGe1ty2f.jpg,"[53, 878]",63333,en,Gog,A mechanical brain is programmed to sabotage the government's secret lab while working on the first space station.,1.214214,/beMHrXHnf2UC3AF05R1KggJlRGf.jpg,1954-06-04,Gog,False,5.8,10,1954,1950
5,5,False,/wIP9NCL6x1fc5pmADRcCQMNzGjA.jpg,"[12, 27, 878]",10973,en,Creature from the Black Lagoon,"A scientific expedition searching for fossils along the Amazon River discover a prehistoric Gill-Man in the legendary Black Lagoon. The explorers capture the mysterious creature, but it breaks free. The Gill-Man returns to kidnap the lovely Kay, fiancée of one of the expedition, with whom it has fallen in love.",1.200925,/orajV4DCNheoRYrhriyKWlFWiGg.jpg,1954-03-05,Creature from the Black Lagoon,False,6.7,122,1954,1950
6,6,False,/bydSnD5Z7EFtsvlRLvZUKFtIg2L.jpg,"[878, 27]",29057,en,Monster from the Ocean Floor,"Julie, an American on vacation in Mexico, spots a giant, one-eyed amoeba rising from the ocean, but when she tries to tell the authorities, no one believes her. She finally teams up with a marine biologist in an attempt to destroy it.w found.",1.087904,/nmPGKjYn9oESdySlgp9aykYwvbf.jpg,1954-05-21,Monster from the Ocean Floor,False,4.3,3,1954,1950
7,7,False,/7Y9d3fpRw4K9ytuhs2eTCXIr2mJ.jpg,[878],31042,en,Target Earth,"Giant robots from Venus invade Chicago. Stranded in the deserted city are Frank and Nora (who has recently attempted suicide). They meet a celebrating couple at a café, Vicki Harris and Jim Wilson. The quartet escape the robot patrol and take refuge in a large hotel. There, they encounter a new danger in Davis, a psychopathic killer.",1.079005,/esNy3MrV5GKDB9NshNiH7pEQkJY.jpg,1954-11-07,Target Earth,False,6.4,8,1954,1950
8,8,False,/bazgZ0QN0nlnslkNuahz9i6xxTQ.jpg,"[18, 878]",78852,en,1984,A man who works for 'The Party' (an all powerful empire led by a man known only as 'Big Brother') begins to have thoughts of rebellion and love for a fellow member. Together they look to help bring down the party.,1.062948,/cr8JL4Pb1VJgNPZQB80LwkHnKA4.jpg,1954-12-12,Nineteen Eighty-Four,False,7.1,6,1954,1950
9,9,False,/zQxi9n7Mvy1Wlv6CeJOjnXrbNdi.jpg,"[35, 27, 878]",89725,en,The Bowery Boys Meet the Monsters,"Slip, Sach and the rest of the Bowery Boys enter a haunted house, where they engage in slapstick with a gorilla, a robot and a vampire",1.05241,/3RbZh95HdAfnvAjJuYCFXlVI1CG.jpg,1954-06-06,The Bowery Boys Meet the Monsters,False,4.8,3,1954,1950
